category,subcategory,fact_name,value,unit,occurrences,has_conflict,confidence,rationale,signature
Governance & Management,Institutional,Ministerial Decision No. 44/2017,Regulation on Impact and Benefits Agreement,,1,False,high,Regulation pertains to governance and management frameworks.,ministerial_decision_no_442017
Governance & Management,Institutional,Ministerial Decision No. 45 of 2017,Regulation on Statute and Rules of Procedure for Evaluation Committee,,1,False,high,The regulation pertains to governance and procedural frameworks.,ministerial_decision_no_45_of_2017
Governance & Management,Institutional,Ministerial Decision No. 46 of 2017,Regulation on Detailed Requirements for Screening,,1,False,high,Regulatory decisions are key governance documents.,ministerial_decision_no_46_of_2017
Governance & Management,Institutional,Ministerial Decision No. 47 of 2017,Regulation on Procedures for Public Consultation,,1,False,high,The regulation pertains to governance and public consultation procedures.,ministerial_decision_no_47_of_2017
Governance & Management,Institutional,Environmental Licensing System,Decree-Law No. 5/2011,,1,False,high,Environmental licensing is a key aspect of governance and regulatory framework.,environmental_licensing_system
Governance & Management,Institutional,National Environmental Licensing Agency,Agencia Nacional de Licensiamento Ambiental (ANLA),,1,False,high,The agency is a key institutional body for environmental licensing.,national_environmental_licensing_agency
Governance & Management,Institutional,Establishment of ANLA,Decree-Law No. 15/2019,,1,False,high,The establishment of a legal framework is a key aspect of governance.,establishment_of_anla
Governance & Management,Institutional,Maximum review period,50,days,1,False,medium,The review period relates to governance processes but lacks specific context.,maximum_review_period
Governance & Management,Institutional,Decree-Law No. for Urban Solid Waste Management System,2/2017,,1,False,high,Legal decrees are essential for governance and management frameworks.,decree_law_no_for_urban_solid_waste_management_system
Governance & Management,Institutional,Decree-Law No. for Biodiversity Protection and Conservation,6/2020,,1,False,high,The decree-law pertains to governance and legal frameworks for biodiversity.,decree_law_no_for_biodiversity_protection_and_conservation
Governance & Management,Institutional,Decree-Law No. for National Development Programme for Rural Villages,08/2013,,1,False,high,The decree-law pertains to governance and institutional frameworks for development.,decree_law_no_for_national_development_programme_for_rural_villages
Governance & Management,Institutional,Joint Ministerial Order No. for Regulation on Powers of Municipal Authorities,43/2017,,1,False,high,Regulatory orders pertain to governance and institutional frameworks.,joint_ministerial_order_no_for_regulation_on_powers_of_municipal_authorities
Governance & Management,Institutional,Adoption of International Finance Corporation Performance Standards,IFC Performance Standards,,1,False,high,Adoption of performance standards relates to governance and management practices.,adoption_of_international_finance_corporation_performance_standards
Governance & Management,Institutional,Grievance Resolution Mechanism,GRM,,1,False,medium,The Grievance Resolution Mechanism relates to governance but lacks specific context.,grievance_resolution_mechanism
Governance & Management,Institutional,Grievance Redress Mechanism (GRM) establishment,Grievance Redress Mechanism (GRM),,1,False,high,Establishing a GRM is a key aspect of governance and management practices.,grievance_redress_mechanism_grm_establishment
Governance & Management,Institutional,EITI compliance status,full EITI compliance,,1,False,high,EITI compliance is a key aspect of governance and management practices.,eiti_compliance_status
Governance & Management,Institutional,Reporting standards compliance,international reporting standards,,1,False,medium,Compliance with reporting standards relates to governance practices.,reporting_standards_compliance
Governance & Management,Institutional,Management measures focus,balanced development,,1,False,medium,Management focus indicates governance but lacks specific context.,management_measures_focus
Governance & Management,Monitoring,Duration of stakeholder engagement documentation,10,years,1,False,medium,Duration of documentation relates to governance but lacks clarity on specific engagement context.,duration_of_stakeholder_engagement_documentation
Governance & Management,Monitoring,Long-term management and monitoring program,ESMP,,1,False,high,A long-term management and monitoring program is essential for governance and oversight.,long_term_management_and_monitoring_program
Risks & Issues,Identified Risks,Section 7.8 - Cumulative and Residual Impacts,Cumulative and Residual Impacts,,1,False,medium,Cumulative and residual impacts relate to potential risks associated with the project.,section_78_cumulative_and_residual_impacts
Risks & Issues,Identified Risks,Section 7.10 - Impacts of Environment on Project,Impacts of Environment on Project,,1,False,medium,"The section title suggests potential environmental risks to the project, but lacks specific details.",section_710_impacts_of_environment_on_project
Risks & Issues,Identified Risks,Section 8.6 - Residual and Cumulative Impact Management,Residual and Cumulative Impact Management,,1,False,medium,Residual and cumulative impacts relate to potential risks from the project.,section_86_residual_and_cumulative_impact_management
Risks & Issues,Identified Risks,Wildfire Occurrences source,FIRMS,,1,False,medium,Wildfire occurrences are a potential risk factor for projects.,wildfire_occurrences_source
Risks & Issues,Identified Risks,Landslide source,World Bank - The Global Landslide Hazard Map 2020,,1,False,high,Landslide sources are critical risk factors in project assessments.,landslide_source
Risks & Issues,Identified Risks,Number of cyclones within 100 km,8,,1,False,medium,Cyclones pose a potential risk to project operations and safety.,number_of_cyclones_within_100_km
Risks & Issues,Identified Risks,Cyclone frequency trend,increased slightly but consistently,,1,False,medium,Cyclone frequency trends indicate potential environmental risks.,cyclone_frequency_trend
Risks & Issues,Identified Risks,Peak wildfire occurrences,October,,1,False,medium,Wildfire occurrences are a potential risk factor for projects.,peak_wildfire_occurrences
Risks & Issues,Identified Risks,Cumulative impact analysis,Better understanding of associated developments,,1,False,medium,Cumulative impact analysis relates to understanding potential risks from multiple developments.,cumulative_impact_analysis
Risks & Issues,Identified Risks,Coastal flooding risk,high-risk,,1,False,high,Coastal flooding risk is a clear identified risk for the project.,coastal_flooding_risk
Risks & Issues,Identified Risks,Climate Change Risk Assessment integration,Project Climate Change Risk Assessment,,1,False,high,Integration of climate change risk assessment is crucial for identifying potential project risks.,climate_change_risk_assessment_integration
Risks & Issues,Identified Risks,Residual impacts,potential disruptions to local community livelihoods,,1,False,medium,Residual impacts on community livelihoods indicate potential risks.,residual_impacts
Risks & Issues,Identified Risks,Construction interdependency,essential,,1,False,medium,Interdependencies can pose risks during construction phases.,construction_interdependency
Risks & Issues,Identified Risks,Construction phase challenge,significant disruptive challenge,,1,False,medium,Describes a challenge that could impact project execution.,construction_phase_challenge
Risks & Issues,Identified Risks,Project alternatives considered,"no action option, technology alternatives, siting alternatives",,1,False,medium,Considering project alternatives is related to assessing risks and impacts.,project_alternatives_considered
Risks & Issues,Uncertainties,Cyclone tracks data period,1900 - present,,1,False,medium,Cyclone data period indicates potential uncertainties related to climate risks.,cyclone_tracks_data_period
Risks & Issues,Uncertainties,Assessment Coverage,Preliminary ESIA does not cover LNG or Seaport,,1,False,medium,Coverage gaps in assessments indicate potential risks and uncertainties.,assessment_coverage
Risks & Issues,Uncertainties,Period of moderate to severe drought,Mid-1960s,,1,False,medium,Drought periods can pose risks and uncertainties for project viability.,period_of_moderate_to_severe_drought
Risks & Issues,Uncertainties,Extremely wet period,Early 1970s,,1,False,medium,The reference to a historical wet period suggests potential uncertainties related to environmental conditions.,extremely_wet_period
Risks & Issues,Uncertainties,Increased variability after 2000,Increased variability,,1,False,medium,Increased variability suggests potential uncertainties in project outcomes.,increased_variability_after_2000
Risks & Issues,Uncertainties,Projected sea level rise by 2100,more than 1,meter,1,False,medium,Projected sea level rise presents potential risks but lacks specific context.,projected_sea_level_rise_by_2100
Risks & Issues,Uncertainties,Increased rainfall intensity,expected,,1,False,medium,Increased rainfall intensity presents potential environmental uncertainties.,increased_rainfall_intensity
Risks & Issues,Uncertainties,Importance of further environmental studies,significant,,1,False,medium,The significance of further studies indicates potential uncertainties in environmental assessments.,importance_of_further_environmental_studies
Risks & Issues,Uncertainties,Intensive Field Research Requirement,Intensive field research required,,1,False,medium,The requirement for intensive field research suggests potential uncertainties in project assessment.,intensive_field_research_requirement
